S0001	How could machines learn as efficiently as humans and animals?
S0586	But the driver can still make accurate predictions at a higher level of abstraction: ignoring the details of trajectories, other cars, traffic signals, etc, the car will probably arrive at its destination within a predictable time frame.
S0587	The detailed trajectory will be absent from this level of description.
S0588	But the approximate trajectory, as drawn on a map, is represented.
S0589	A discrete hidden variable may be used to represent multiple alternative routes.
S0590	Figure 15 shows a possible architecture for multilevel, multi-scale world state prediction.
S0591	Variables x0, x1, x2 represent a sequence of observations.
S0592	The first-level network, denoted JEPA-1 performs short-term predictions using low-level representations.
S0593	The second-level network JEPA-2 performs longer-term predictions using higher-level representations.
S0594	One can envision architectures of this type with many levels, possibly using convolutional and other modules, and using temporal pooling between levels to coarse-grain the representation and perform longer-term predictions.
S0595	Training can be performed level-wise or globally, using any non-contrastive method for JEPA.
S0596	I submit that the ability to represent sequences of world states at several levels of abstraction is essential to intelligent behavior.
S0597	With multi-level representations of world states and actions, a complex task can be decomposed into successively more detailed subtasks, instantiated into actions sequences when informed by local conditions.
S0598	For example, planning a complex task, like commuting to work, can be decomposed into driving to the train station, catching a train, etc.
S0599	Driving to the train station can be decomposed into walking out of the house, starting the car, and driving.
S0600	Getting out of the house requires standing up, walking to the door, opening the door, etc.
S0601	This decomposition descends all the way down to millisecond-by-millisecond muscle controls, which can only be instantiated when the relevant environmental conditions are perceived (obstacles, traffic lights, moving objects, etc).
S0602	Figure 15: multi-level JEPA (H-JEPA) The ability of the JEPA to learn abstract representations in which accurate prediction can be performed allows multi-level stacking.
S0603	In this diagram JEPA-1 extracts low-level representations and performs short-term predictions.
S0604	JEPA-2 takes the representations extracted by JEPA-1 as inputs and extracts higher-level representations with which longer-term predictions can be performed.
S0605	More abstract representations ignore details of the inputs that are difficult to predict in the long term, enabling them to perform longer-term predictions with coarser descriptions of the world state.
S0606	If our world model can perform predictions hierarchically, can it be used to perform Mode-2 reasoning and planning hierarchically?
S0607	Multi-level planning is a difficult topic with few solutions, most of which require that the intermediate vocabulary of actions be predefined.
S0608	But if one abides by the deep learning philosophy, those intermediate representations of action plans should also be learned.
S0609	Figure 16 shows a possible architecture for multi-level Mode-2 planning that can exploit the multi-level nature of a multi-scale world model.
S0610	A sensory input is encoded into representations at multiple levels of abstractions by a cascade of encoders: s[0] = Enc1(x); s2[0] = Enc2(s[0]);...
S0611	(14) Prediction takes place at all levels.
S0612	Higher levels perform longer-term prediction, while lower levels perform shorter-term predictions.
S0613	The overall task is defined by a high-level objective, depicted as C(s2 [4]) in the diagram.
S0614	The top level infers a sequence of high-level actions (a2[2], a2[4]) to optimize this objective.
S0615	These high-level “actions” are not real actions but targets for the lower level predicted states.
S0616	One can think of them as conditions that the lower-level state must satisfy in order for the high-level predictions to be accurate.
S0617	Whether these conditions are satisfied can be computed by cost modules C(s[2]) and C(s[4]).
S0618	They take a lower-level state s[2] and a high-level condition a2[2] and measure to what extent the state satisfies the condition.
S0619	With these subgoals defined, the lower level can perform inference and find a low-level action sequence that minimizes the mid-level subgoals C(s[2]) and C(s[4]).
S0620	The process just described is top down and greedy.
S0621	But one may advantageously iterate the optimization so that high level and low-level action sequences are optimized jointly.
S0622	The cost modules may be configured by the configurator for the situation at hand.
S0623	The idea that an action is merely a condition to be satisfied by the level below is actually an old one in control theory.
S0624	For a example, a classical proportional servomechanism can be seen as being given a target state.
S0625	A quadratic cost measures the squared distance between the target and the current state, and the control is simply proportional to the negative gradient of the cost with respect to the action variables.
S0626	Figure 16: multi-level JEPA for Mode-2 multi-level planning.
S0627	A complex task is defined by a high-level cost computed from a high-level world-state representation C(s2[4]).
S0628	A sequence of high-level abstract actions (a2[2], a2[4]) is inferred that minimizes C(s2[4]).
S0629	The inferred abstract actions are fed to lower-level cost modules C(s[2]), C(s[4]) which define subgoals for the lower layer.
S0630	The lower layer then infers an action sequence that minimizes the subgoal costs.
S0631	Although only a 2-layer hierarchy is shown here, it is straightforward to extend the concept to multiple levels.
S0632	The process described here is sequential top-down, but a better approach would be to perform a joint optimization of the actions in all the layers.
S0633	The real world is not entirely predictable.
S0634	Uncertainty in predictions of future world states may be due to a number of reasons: • the world is intrinsically stochastic (aleatoric uncertainty, type 1) • the world is deterministic but chaotic, hence difficult to predict without infinitely precise perception (aleatoric uncertainty, type 2) • the world is deterministic but partially observable (aleatoric uncertainty type 3). • the world is fully observable, but the sensors only give partial information about the world state (epistemic uncertainty, type 1) • the representation of the world state extracted by the perception module does not contain the full information necessary for accurate prediction (epistemic uncertainty, type 2). • the world model is inaccurate due to limitations of its representational power (bounded rationality or epistemic uncertainty, type 3).
S0635	• the world model is inaccurate due to it having been trained with limited amount of data (epistemic uncertainty, type 4).
S0636	Much of the literature in reinforcement learning is focused on dealing with the stochastic nature of the environment.
S0637	It is often assumed from the start that models, critics and policies must represent distributions.
S0638	In the present work, we push the possible stochasticity of a predicted variable into a hidden variable, which may be optimized, predicted, or sampled.
S0639	This is what is often referred to in the ML literature as “the reparameterization trick”.
S0640	We do not need to use this trick here, since we view the latent-variable parameterization of the predictions as fundamental.
S0641	Figure 17 represents a hierachical planning episode in the presence of uncertainty.
S0642	A prediction at a given level and time step, e.g. s2[2] requires a sample of the corresponding hidden variable z2[2].
S0643	The sample may come from the distribution whose negative logarithm is the regularizer R2(z2[2])).
S0644	The parameters of the regularizer may be constant (e.g. fixed Gaussian), predicted from currently-available data using amortized inference (e.g. a multinomial or Gaussian whose parameters are computed from s2[0]) or produced by the configurator.
S0645	Using previous predictions to configure the latent regularizer biases the system towards generating “good” trajectories.
S0646	As the prediction progresses, the number of generated state trajectories may grow exponentially: if each hidden variable has k possible discrete values, the number of possible trajectories will grow as k t, where t is the number of time steps.
S0647	Directed search and pruning strategies can be employed, as in classical Monte-Carlo Tree Search (MCTS). (Monte-Carlo Tree Search is a search method that explores promising decision branches instead of checking everything exhaustively.)
S0648	In the case of continuous latents, one may sample latents from the continuous distributions defined by the regularizer.
S0649	Given a sample of all the latents, the optimal action sequences at every levels can be inferred.
S0650	But, the prediction process may need to be repeated for multiple drawings of the latents, so as to cover the set of plausible outcomes.
S0651	The inference process may be used for multiple predictions to produce an action that does not just minimize the expected cost, but also minimizes the uncertainty on the expected cost.
S0652	4.8.1 The details of the architecture of the world model should depend on the type of environment the agent evolves in.
S0653	It is likely that the best module architectures in a JEPA should include some sort of gating or dynamic routing mechanism.
S0654	For example, the best way to handle low-level, short-term predictions in videos is by extracting simple local feature vectors and displacing those feature vectors from one frame to the next, depending on predicted motions.
S0655	The hidden variables may encode a map of displacements, which can modulate routing connections between one frame and the next.
S0656	For longer-term prediction at a higher level of abstraction, the relevant features are objects and their interactions.
S0657	The evolution may be best modeled by a transformer architecture, which has the property of being equivariant to permutation and is appropriate to capture interactions between discrete objects (Vaswani et al., 2017; Carion et al., 2020; Battaglia et al., 2016). (A transformer is a neural-network architecture that uses attention to model relationships between many items at once.)
S0658	Separating the World Model from the Ego Model: The natural world is complex and somewhat unpredictable, requiring a powerful model with hidden variables to account for the unpredictability.
S0659	On the other hand, the agent itself is somewhat more predictable: a particular action on effector will produce a motion that can often be predicted deterministically.
S0660	This suggests that the agent should possess a separate model of itself, perhaps without hidden variables (Sobal et al., 2022) as the effect of actions on proprioception somewhat easier to predict than the evolution of the external world or the effect of actions on it.
S0661	In turn, the ego-model that the agent has of itself can be used as a template for a model of other agents in a multi-agent scenario.
S0662	Figure 17: multi-level JEPA for Mode-2 multi-level planning in an uncertain environment.
S0663	Realistic environments are not entirely predictable, even when using highly-abstract representations.
S0664	Uncertainty about predictions can be handled by predictors with hidden variables.
S0665	The hidden variables (red circles) contain information about the prediction that cannot be derived from the prior observation.
S0666	The hidden variables must be regularized to prevent an energy collapse and to force the system to predict as much as possible without the help of it.
S0667	At planning time, hidden variables are sampled from distributions obtained by applying a Gibbs distribution to the regularizers.
S0668	Each sample leads to a different prediction.
S0669	To produce consistent latent sequences, the parameters of the regularizer can be functions of previous states and retrieved memories.
S0670	As the prediction progresses, the number of generated state trajectories may grow exponentially.
S0671	If each hidden variable has k possible discrete values, the number of possible trajectories will grow as k t, where t is the number of time steps.
S0672	Directed search and pruning strategies must be employed.
S0673	With multiple predicted trajectories, optimal action sequences can be computed that minimize the average cost, or a combination of average and variance of the cost so as to minimize risk.
S0674	Traditionally, modules in deep learning architectures communicate states through vectors or multi-dimensional arrays.
S0675	But this tends to be a very inefficient method when the state of the object being modeled only changes in minor ways from one time to the next.
S0676	A typical action of an agent will only modify a small portion of the state of the world.
S0677	If a bottle is being moved from the kitchen to the dining room, the states of the bottle, the kitchen, and the dining room will be modified.
S0678	But the rest of the world will be unaffected.
S0679	This suggests that the state of the world should be maintained in some sort of writable memory.
S0680	Whenever an event occurs, only the part of the world-state memory affected by the event is to be updated, while the rest is to be left unchanged.
S0681	A conventional key-value associative memory can be used for this purpose, similar to what has been proposed in the context of memory-augmented networks (Bordes et al., 2015; Sukhbaatar et al., 2015; Miller et al., 2016), and entity networks (Henaff et al., 2017).
S0682	The output of the world model at a given time step is a set of query-value pairs (q[i], v[i]), which are used to modify existing entries in the world-state memory, or to add new entries.
S0683	Given a query q, the world-state memory returns X = Match(kj, q) c = Normalize(c̃) Mem(q) = where the kj are keys, the vj are stored values, function Match(k, q) measures a divergence or dissimilarity between a key and a query, vector c contains scalar coefficients cj, and function Normalize(c̃) performs some sort of competitive normalization or thresholding, P such as the commonly-used cj = exp(c̃j )/[γ + k exp(c̃k )], where γ is a positive constant.
S0684	Writing a value r using query (or address) q into the memory can be done by updating existing entries: c̃j = Match(kj, q) c = Normalize(c̃) = Update(r, vj, cj ) Function Update(r, v, c) may be as simple as cr + (1 − c)v.
S0685	If the query is distant from all keys, the memory may allocate a new entry whose key is q and corresponding value is r.
S0686	The γ constant in the example Normalize function above may serve as a threshold for acceptable key-query divergence.
S0687	One can view each entry as representing the state of an entity in the world.
S0688	In the above example of the bottle, the world model may contain keys kbottle, kkitchen, kdining−room respectively representing the bottle, the kitchen and the dining room.
S0689	The initial value of vbottle encodes its location as “kitchen”, the inital value of vkitchen encodes its content as including the bottle, and the initial value of vdining−room encodes its content as not including the bottle.
S0690	After the event, the location and contents are updated.
S0691	All of these operations can be done in a differentiable manner, and would hence allow to back-propagate gradients through them.
S0692	Much knowledge about the world is learnable through pure observation.
S0693	The laws of motion of physical objects can, in principle, be derived from observation, without a need for intervention.
S0694	But training a world model efficiently may require more active or “agentive” information gathering.
S0695	One can list five modes of information gathering with which an agent can learn about how the world works: 1. passive observation: the agent is being fed a sensor stream (e.g. video, audio, etc) 2. active foveation: the agent is being fed a stream within which the focus of attention can be directed without affecting the environment.
S0696	For example, watching a scene while being able to orient the vision and sound sensors, or being being fed a wideangle, high resolution video and/or audio stream within which the focus of attention can be directed.
S0697	3. passive agency: sensory streams in which another agent acting on the environment is being observed, enabling the inference of causal effects of agent actions on the state of the environment.
S0698	4. active egomotion: the agent receives sensory streams from a real or virtual environment within which the position of the sensors can be modified without significantly affecting the environment.
S0699	This may include steerable active sensors (e.g. range sensors, heat sensors, chemical sensors) as well as touch sensors.
S0700	5. active agency: sensory streams that are influenced by the agent’s actions.
S0701	This enables the establishment of causal models in which the agent can learn to predict the consequences of its actions.
S0702	This mode brings the exploration-exploitation dilemma to the forefront.
S0703	In a complex environment, it may not be practical to collect enough passive data for the world model to capture a sufficient portion of the environment’s behavior.
S0704	Mode 2, 4, and 5 allow the agent to collect information that maximizes its understanding of the environment.
S0705	But to do so may require internal motivation modules that drive attention, curiosity, and exploration into corners of the state space in which the world model’s prediction are currently inexact or uncertain.
S0706	The main open question is how much can be learned using passive observation (modes 1, 2, 4), how much requires egomotion (mode 3), and how much requires full agency (mode 5).
S0707	The role of the actor module is threefold: 1. inferring optimal action sequences that minimize the cost, given the predictions produced by the world model for Mode-2 actions.
S0708	2. producing multiple configurations of hidden variables that represent the portion of the world state the agent does not know.
S0709	3. training policy networks for producing Mode-1 actions.
S0710	There is no conceptual difference between an action and a hidden variable.
S0711	The configurations of both sets of variables must be explored by the actor.
S0712	For hidden variables, configurations must be explored to plan under uncertainty.
S0713	For action variables configurations must be explored to produce an optimal one that minimizes the cost.
S0714	In adversarial scenarios (such as games), the latent configurations must be explored that maximize the cost.
S0715	In effect, the actor plays the role of an optimizer and explorer.
S0716	When the world model and the cost are well-behaved, the actor module can use a gradient-based optimization process to infer an optimal action sequence.
S0717	To do so, it receives estimates of the gradient of the cost computed by backpropagating gradients through the cost and the unfolded world model.
S0718	It uses those estimates to update the action sequence.
S0719	When the world model or the cost are not so well-behaved, a gradient-based search for an optimal action sequence may fail.
S0720	In this case another search/planning method may be applied.
S0721	If the action space is discrete or can be discretized, one can use dynamic programming methods or approximate dynamic programming methods such as beam search or Monte-Carlo tree search.
S0722	In effect, any planning method developed in the context of optimal control, robotic, or “classical” AI may be used in this context.
S0723	Once an optimal action sequence is obtained through the planning / inference / optimization process, one can use the actions as targets to train a policy network.
S0724	The policy network may subsequently be used to act quickly, or merely to initialize the proposed action sequence to a good starting point before the optimization phase.
S0725	Multiple policy networks can be trained for multiple tasks.
S0726	The actor also produces configurations of hidden variables.
S0727	These hidden variables represent the portion of the world state that the agent does not know.
S0728	Ideally, the actor would systematically explore likely configurations of the latents.
S0729	Ideally, the regularizer for the latents, R1 and R2 in Figure 17, would represent log-priors from which the latent could be sampled.
S0730	But in a similar way as the policy network, one may devise a latent amortized inference module that learns distributions of hidden variables.
S0731	Good distributions would produce predictions that are plausible.
S0732	The distribution primate’s may depend on all the variables available at that time.
S0733	The configurator is the main controller of the agent.
S0734	It takes input from all other modules and modulates their parameters and connection graphs.
S0735	The modulation can route signals, activate sub-networks, focus attention, etc.
S0736	In a scenario in which the predictor and the upper layers of the perception encoder are transformer blocks, the configurator outputs may constitute extra input tokens to these transformer blocks, thereby modulating their connection graphs and functions.
S0737	The configurator module is necessary for two reasons: hardware reuse, and knowledge sharing.
S0738	There is an obvious advantage to be able to reuse the same circuit for multiple tasks, particularly if the tasks can be accomplished sequentially, and if the amount of resources (e.g. parameter memory) is limited.
S0739	But there is another advantage: knowledge reuse.
S0740	A reasonable hypothesis is that a world model trained for a given environment can be used for a range of different tasks with minor changes.
S0741	One can imagine a “generic” world model for the environment with a small portion of the parameters being modulated by the configurator for the task at hand.
S0742	This would be more data efficient and computationally efficient than having separate world models for each skill.
S0743	The disadvantage is that the agent can only accomplish one task at a time.
S0744	The configurator may prime the perception module for a particular task by modulating the parameters at various levels.
S0745	The human perceptual system can be primed for a particular task, such as detecting an item in a cluttered drawer, detecting fruits or preys in a forest, reading, counting certain events, assembling two parts, etc.
S0746	For tasks that require a rapid detection of simple motifs, the configurator may modulate the weights of low-level layers in a convolutional architecture.
S0747	For tasks that involve satisfying relationships between objects (such as assembling two parts with screws) the configuration may be performed by modulating tokens in high-level transformer modules.
S0748	The predictor part of the world model must be able to perform a broad set of functions depending on the task at hand.
S0749	For predictors performing short-term predictions at a low level of abstraction, configuration may mean dynamic signal routing.
S0750	In a low-level retinotopic feature array representation, prediction may be reduced to local displacements of individual feature vectors, accompanied with small transformations of those vectors.
S0751	This may be advantageously implemented with local gating/routing circuits.
S0752	For longerterm prediction at higher-levels of abstraction, it may be preferable to use a transformer architecture.
S0753	Transformer blocks are particularly appropriate for object-based reasoning in which objects interact.
S0754	The reason is that the function of transformer blocks is equivariant to permutation.
S0755	Thanks to that property, one does not need to worry about which object is assigned to which input token: the result will be identical and consistent with the input assignment.
S0756	Recent work in model-based robotics have proposed to use a transformer operating at the level of an entire trajectory, imposing constraints on the attention circuits to configure the predictor for causal prediction or other tasks (Janner et al., 2021).
S0757	Conveniently, the function of a transformer block is easy to configure by adding extra input tokens.
S0758	Those extra inputs have the effect of modulating the connection graph used by the rest of the network, thereby allowing the specification of a broad set of input-output functions.
S0759	Perhaps the most important function of the configurator is to set subgoals for the agent and to configure the cost module for this subgoal.
S0760	As mentioned in Section 3.2, a simple way to make the cost configurable is by modulating the weights of a linear combination of elementary cost sub-modules.
S0761	This may be appropriate for the immutable Intrinsic Cost submodule: allowing for a complex modulation of the Intrinsic Cost may make the basic drives of the agent difficult to control, including cost terms that implement safety guardrails.
S0762	In contrast, one can imagine more sophisticated architectures allowing the Trainable Critic part of the cost to be flexibly modulated.
S0763	As with the predictor, if the high-level cost is formulated as a set of desired relationships between objects (“is the nut set on the screw?”) one may use a transformer architecture trained to measure to what extent the state of the world diverges from the condition to be satisfied.
S0764	As with the predictor, extra token inputs can be used to modulate the function.
S0765	One question that is left unanswered is how the configurator can learn to decompose a complex task into a sequence of subgoals that can individually be accomplished by the agent.
S0766	I shall leave this question open for future investigation.
S0767	Most of the ideas presented in the paper are not new, and have been discussed at length in various forms in cognitive science, neuroscience, optimal control, robotics, AI, and machine learning, particularly in reinforcement learning.
S0768	Perhaps the main original contributions of the paper reside in • an overall cognitive architecture in which all modules are differentiable and many of them are trainable. • H-JEPA: a non-generative multi-level architecture for predictive world models that learn representations at multiple levels of abstraction and multiple time scales. • a family of non-contrastive self-supervised learning paradigm that produces representations that are simultaneously informative and predictable. • A way to use H-JEPA as the basis of predictive world models for multi-level planning under uncertainty.
S0769	Below is an attempt to connect the present proposal with relevant prior work.
S0770	Given the scope of the proposal, the In the context of optimal control, learning a Mode-1 like policy network is known as direct inverse control.
S0771	The idea of Mode-2 style inference over actions using a predictive model in the context of reinforcement learning is also an old idea with, for example, Sutton’s Dyna architecture (Sutton, 1991).
S0772	See (Bertsekas, 2019) for an extensive review.
S0773	The idea of learnable models has recently enjoyed a renewal of interest in various contexts (Ha and Schmidhuber, 2018b; Ha and Schmidhuber, 2018a; Hafner et al., 2018; Hafner et al., 2020) (see (Moerland et al., 2020) for a recent survey of model-based reinforcement learning).
S0774	Learning world models is particularly important in the context of robotics, especially for grasping and manipulation where sample efficiency is paramount and simulation is often inaccurate.
S0775	In fact, because classical reinforcement learning approaches require too many trials for real-world applications, interesting advances in learned model for control have emerged from ML-based robotics research (Agrawal et al., 2016; Finn and Levine, 2017; Chua et al., 2018; Srinivas et al., 2018; Yu et al., 2020; Yarats et al., 2021).
S0776	For a recent review, see (Levine, 2021) and same scene.
S0777	Perhaps the first contrastive method for JEA is the so-called “Siamese Network” (Bromley et al., 1994).
S0778	This was trained contrastively for the purpose of verifying signatures handwritten on a pen tablet.
S0779	The idea of JEA remained largely untouched for over a decade, until it was revived in a series of papers from my group (Chopra et al., 2005; Hadsell et al., 2006), and Geoffrey Hinton’s group (Goldberger et al., 2005).
S0780	Following the rebirth of deep learning, a few papers used JEA for fine-grained recognition, including face recognition (Taigman et al., 2014).
S0781	With the emergence of SSL approaches, the use of JEA trained contrastively has exploded in the last few years with methods such as PIRL (Misra and Maaten, 2020), MoCo and MoCo-v2 (He et al., 2020; Chen et al., 2020b), and SimCLR (Chen et al., 2020a).
S0782	Some methods can be seen as “distillation” approaches in which one branch of the Siamese network is a teacher whose output are used as targets for the other branch.
S0783	This includes methods in which the output vectors are quantized to discrete cluster prototypes (see (Caron et al., 2020) and predecessors).
S0784	In recent years, a number of new non-contrastive methods have appeared, such as BYOL (Grill et al., 2020).
S0785	But the class of non-contrastive methods advocated in the present proposal prevent collapse by maximizing the information content of the embeddings.
S0786	This includes Barlow Twins (Zbontar et al., 2021), VICReg (Bardes et al., 2021), whitening-based methods (Ermolov et al., 2021), and Maximum Coding Rate Reduction methods (see (Dai et al., 2022) and
S0787	Ideas in this paper are a distillation of years of interactions with many people.
S0788	It is impossible to list them all here.
S0789	I will list some of the more salient ones: Léon Bottou, Yoshua Bengio, Geoffrey Hinton, Rob Fergus, and Jitendra Malick; Emmanuel Dupoux and Stanislas Dehaene; Mikael Henaff, Alfredo Canziani, and Nicolas Carion at NYU; Li Jing, Yubei Chen, Randall Balestriero, and Stéphane Deny at FAIR; Vlad Sobal, Jiachen Zhu, and Katrina Evtimova at NYU.
S0790	I am thankful to the following colleagues for their comments on the manuscript: Olivier Delalleau, Gus Xia, Yoshua Bengio, and Emmanuel Dupoux.
S0791	Figure 18: Symbols used in architectural diagrams.
S0792	Architectural diagrams use symbols commonly used to draw factor graphs – circles for variables, rectangles for factors – plus rounded rectangles to represent deterministic functions.
S0793	Filled circles represent observed variables, or variables that are outputs of deterministic functions.
S0794	Hollow circles represent hidden variables, i.e. variables that must be inferred by minimizing some cost, or sampled from a distribution.
S0795	Red rectangles represent energy terms.
S0796	These modules have an implicit scalar output that contributes additively to the total energy of the system.
S0797	This is similar to the convention used for factor graphs.
S0798	Rounded rectangles represent deterministic functions, which may have one or several inputs.
S0799	Given a set of inputs, the output is assumed to be easily computable and unique.
S0800	The function is generally assumed to be differentiable.
S0801	It may contain trainable parameters.
S0802	Non-deterministic functions are represented as shown on the right.
S0803	They are composed of a deterministic function g(x, z) in which one of the inputs is a latent variabl z.
S0804	The hidden variable is seen as varying within a level set of a regularizing energy term R(z).
S0805	When z varies in the level set Zh = {z|R(z) < h}, the output ỹ will vary over the set Yh = {y|y = g(x, z), ∀z ∈ Zh }.
S0806	In some cases, the energy term can be transformed into a probability distribution (see text).
S0807	Architectural diagrams in this paper use the symbols shown in Figure 18.
S0808	We use symbols that are somewhat similar to the representation of factor graphs: circles for variables, rectangles for factors.
S0809	There are two major differences, but.
S0810	First, the factors represent additive energy terms, not multiplicative probability factors.
S0811	Second, we use an additional symbol, rounded rectangles, to represent deterministic functions with a clear directionality from inputs to outputs.
S0812	More precisely: • Filled circles represent observed variables, or variables that are outputs of deterministic functions. • Hollow circles represent hidden variables, i.e. variables that must be inferred by minimizing some cost, varied over a set, or sampled from a distribution. • Red rectangles represent energy terms.
S0813	These modules have an implicit scalar output that contributes additively to the total energy of the system. • Rounded rectangles represent deterministic functions, which may have one or several inputs.
S0814	Given a set of inputs, the output is assumed to be easily computable and unique.
S0815	The function is generally assumed to be differentiable.
S0816	It may contain trainable parameters.
S0817	Such a module is typically implemented as a deep neural net.
S0818	Non-deterministic functions do not have a dedicated symbol, but must be represented as a combination of deterministic functions, energy modules, and hidden variables.
S0819	An example is shown on the right of Figure 18.
S0820	A non-deterministic function is represented by a deterministic function ỹ = g(x, z) whose output depends on a hidden variable z.
S0821	The hidden variable is fed to a regularizing energy term R(z).
S0822	We first define Zh as the level set of z, i.e. the set of z for which R(z) is less than a threshold h: Zh = {z/R(z) < h} As z varies over Zh, the output will vary over the set: Yh = {y|y = g(x, z), ∀z ∈ Zh } In some cases, this setup may be used to represent probability distributions.
S0823	Forst, the energy term is transformed into a probability distribution using a Gibbs-Boltzmann formula: exp(−R(z)) P (z) = R (23) z exp(−R(z )) Drawing the hidden variable from this distribution implies a distribution over y: Z P (y|x) = where δ() is the Dirac delta function.
S0824	Figure 19: Amortized Inference with an EBM.
S0825	An encoder is trained to produce z̃ = Enc(sx, y) to approximate the value of the latent that minimizes the energy ž = argminz∈Z Ew (x, y, z).
S0826	The regularizer R(z) plays the essential role of limiting the information that z contains about y.
S0827	This is particularly important here because the system has access to y and can “cheat” by carrying the complete information about y through the encoder.
S0828	Inference in hidden variable models consists in performing the optimization ž = argminz∈Z Ew (x, y, z).
S0829	When z is continuous, this may be best performed through a gradient-based optimization that involves backpropagating gradients through the model dowen to z for multiple iterations.
S0830	In generative architectures, this may be expensive, requiring to back-propagate through the decoder and the predictor.
S0831	One way to reduce the cost of inference is to use amortized inference.
S0832	The idea is to train a neural net to predict an approximate solution to the inference optimization problem.
S0833	The architecture is depicted in Figure 20.
S0834	An encoder z̃ = Enc(sx, y) is trained to minimize a divergence measure H(ž, z̃) between the encoder output and the optimal hidden variable ž = argminz∈Z Ew (x, y, z).
S0835	Once trained, the prediction z̃ may be use as an estimate of ž or as an initial value for the inference optimization.
S0836	Figure 20: Amortized Inference with a Regularized Generative Latent-Variable EBM architecture.
S0837	An encoder is trained to produce z̃ = Enc(sx, y) to approximate the value ž that minimizes the energy.
S0838	The regularizer R(z) plays the essential role of limiting the information that z contains about y.
S0839	This is particularly important here because the system has access to y and can “cheat” by carrying the complete information about y through the encoder.
S0840	The regularizer R(z) is even more important than in the regular inference case because the prediction pathway has access to y and can “cheat” by carrying the complete information about y through the encoder.
S0841	Without an information-limiting regularizer This would cause a collapse of the energy function, since it would allow any y to be reconstructed perfectly.
S0842	The regularizer is there to minimize the information that ž may contains about y.
S0843	Variational Auto-Encoders, and LISTA-style sparse Auto-Encoders belong to the family of Regularized GLVEBM with amortized inference.
S0844	Most of those models are unconditional and do not possess an x nor an Enc(x) module.
S0845	Much can be said about contrastive methods.
S0846	Table 1 lists a few examples of contrastive methods, together with their strategy for picking contrastive samples ŷ and their loss functional.
S0847	Rows 1-2 in the table are exact maximum likelihood methods.
S0848	They assume that the gradient of the log partition function can be computed exactly.
S0849	Rows 2-4 are approximate maximum likelihood methods.
S0850	Rows 5-10 are not interpretable within a probabilistic method.
S0851	Row 1: Maximum Conditional Likelihood for discrete y is used whenever the energy needs to be turned into a probability distribution. through a Gibbs formula P (y|x) = P exp(−Fw (x, y))/ y0 ∈Y exp(−Fw (x, y 0 ).
S0852	The loss is the negative log conditional likelihood.
S0853	This is the prevalent approach when y is a discrete variable within a finite set (e.g. for classification).
S0854	Row 2 and 3: Maximum Conditional Likelihood is used for any model that should produce probability estimates.
S0855	Row 2 only applies to tractable models in which the integral in the contrastive term (or its gradient) can be computed analytically.
S0856	Row 3 applies to situations where the integral is intractable and its gradient must be approximated by Monte Carlo sampling methods.
S0857	It then comes down to devising good methods to sample ŷ values R from the model’s Gibbs distribution: Pw (y|x) = exp(−βFw (x, y)/ y0 exp(−βFw (x, y 0 ).
S0858	Row 4: Contrastive Divergence.
S0859	MCMC sampling methods for Row 3 may take a long time to mix.
S0860	One may start from a training sample and let the Markov chain evolve for a short time, and then accept or reject the resulting sample so as to satisfy detailed balance (Carreira-Perpiñán and Hinton, 2005).
S0861	Row 5: Pairwise hinge, also known as triplet loss, drives the energy of the correct output to be lower than the energy of the contrastive output by at least a margin m(y, ŷ) which may grow with a measure of divergence between y and ŷ.
S0862	The difficulty is to find suitable contrastive samples whose energy is low and “threatening”, a task sometimes called “hard negative mining”.
S0863	Rows 6-8: Min-hinge, Square-hinge, Square-exp.
S0864	Assumes that the energy has a lower bound. minimizes the energy of the correct output and pushes the energy of contrastive outputs above a margin equal to m(y, ŷ) for rows 6 and 7, and infinite for row 8.
S0865	Row 8: Logistic.
S0866	As with the pairwise hinge, the logistic loss maximizes the difference between the energies of the contrastive output and the correct output.
S0867	Unlike the pairwise hinge, the difference is pushed to infinity, but with a force that decreases quickly.
S0868	Row 9: GAN.
S0869	A GAN differs from other contrastive methods in the way contrastive samples are generated.
S0870	The contrastive samples are produced by a generator network that is trained preferentially generate samples that have low energy according to the model.
S0871	In principle, any loss function can be used, as long as it increases with the energy of the correct output, and decreases with the energy of the contrastive sample.
S0872	Row 10: Denoising Auto-Encoder.
S0873	A denoising AE produces contrastive samples by corrupting outputs from training samples.
S0874	The corruption can be performed by adding noise or by masking parts of the output.
S0875	The energy function is the reconstruction error, hence the energy is trained to be zero on the data manifold, and to grow with D(y, ŷ) as ŷ moves away from y on the data manifold.
S0876	Method Energy ŷ Generation Loss P Max Likelihood discrete y exhaustive Fw (x, y) + log y0 ∈Y exp(−Fw (x, y 0 )) R Max Likelihood tractable exhaustive Fw (x, y) + log y0 ∈Y exp(−Fw (x, y 0 )) 3 Max likelihood any MC or MCMC Fw (x, y) − Fw (x, ŷ) 4 Contr.
S0877	Divergence any trunc’d MCMC Fw (x, y) − Fw (x, ŷ) 5 Pairwise Hinge any most offending [Fw (x, y) − Fw (x, ŷ) + m(y, ŷ)]+ 6 Min-Hinge positive most offending Fw (x, y) + [m(y, ŷ) − Fw (x, ŷ)]+ 6 7 8 most offending most offending most offending ŷ = gu (z) ŷ = N (y) Table 1: A of list of contrastive methods and loss functions to train energy-based models.
